actual,predicted
245.0,259.10684
187.5,213.08511
122.5,125.92478
142.5,132.4495
235.0,239.13747
127.5,143.5979
199.58,231.45146
215.0,219.52657
167.5,187.52972
232.5,271.94345
154.22,169.44162
192.78,180.58699
147.5,138.14375
183.7,199.08739
192.78,182.8436
129.27,133.04106
237.5,248.87956
140.0,135.99203
215.46,202.16344
227.5,222.05669
272.5,259.49307
275.0,236.00273
247.5,227.25932
306.17,332.18484
262.5,263.50446
137.5,150.7356
185.0,161.67645
170.0,176.88284
303.9,303.32028
149.69,159.62709
230.0,219.50987
207.5,216.90181
192.5,168.64381
147.42,143.11882
245.0,234.319
282.5,296.98428
140.0,145.03456
120.0,132.88127
250.0,247.49123
245.0,240.23639
197.31,213.72052
272.16,281.0026
252.5,202.70941
272.5,257.85266
182.5,201.61072
122.47,117.05243
179.2,157.29594
320.0,326.29996
172.37,180.2139
181.44,188.2904
140.0,146.54327
219.99,197.22261
131.54,136.96005
240.0,255.26143
180.0,180.45847
129.27,127.62539
251.74,263.96246
145.0,155.68158
183.7,197.8735
158.76,160.08366
117.5,107.113434
208.65,219.9575
227.5,246.16455
249.48,216.26599
190.0,202.49419
229.06,207.58354
263.08,223.06384
207.5,190.93933
227.5,197.09813
100.0,88.83019
249.48,213.4715
247.5,222.82443
270.0,291.9434
174.63,197.1683
140.0,158.57019
117.5,129.86601
182.5,159.8621
158.76,176.09532
158.76,180.73152
140.0,114.81343
100.0,102.82386
262.5,259.99313
165.0,166.96628
142.88,161.85095
105.0,109.868515
227.5,230.88974
105.0,99.90537
200.0,202.55937
172.5,161.95596
207.5,199.57472
152.5,157.45612
145.0,154.44998
301.64,310.60098
