BestSquatKg,BestBenchKg,BodyweightKg,Sex,Equipment,BestDeadliftKg
244.94,165.56,116.3,M,Single-ply,219.99
155.0,117.5,75.0,M,Raw,245.0
225.0,92.5,90.5,M,Single-ply,247.5
195.04,102.06,125.65,M,Single-ply,195.04
165.0,127.5,97.7,M,Raw,167.5
135.0,92.5,71.3,M,Raw,162.5
200.0,150.0,86.3,M,Single-ply,270.0
192.5,120.0,90.5,M,Raw,235.0
205.0,127.5,103.2,M,Raw,217.5
120.2,56.7,51.71,M,Single-ply,145.15
147.42,83.91,74.48,M,Single-ply,142.88
182.5,87.5,74.0,M,Raw,235.0
97.5,47.5,68.4,F,Raw,112.5
129.27,79.38,78.74,F,Wraps,147.42
115.0,82.5,90.0,M,Single-ply,122.5
162.5,120.0,89.5,M,Raw,220.0
172.37,111.13,107.95,M,Raw,204.12
100.5,63.0,63.59,F,Raw,102.5
188.24,113.4,61.87,M,Single-ply,170.1
120.0,67.5,46.8,F,Single-ply,132.5
165.56,99.79,61.73,M,Single-ply,188.24
151.95,102.06,82.1,M,Single-ply,158.76
207.5,165.0,102.6,M,Raw,272.5
157.5,85.0,76.0,M,Raw,165.0
130.0,80.0,75.3,M,Single-ply,165.0
200.0,152.5,90.0,M,Raw,235.0
182.5,115.0,63.68,M,Raw,210.0
226.8,124.74,74.48,M,Single-ply,204.12
210.0,130.0,81.7,M,Single-ply,230.0
100.0,55.0,50.8,F,Raw,145.0
138.35,113.4,78.56,M,Single-ply,170.1
200.0,150.0,114.3,M,Raw,255.0
187.5,132.5,82.7,M,Raw,225.0
212.5,177.5,109.9,M,Wraps,247.5
240.0,165.0,90.0,M,Wraps,252.5
212.5,125.0,81.64,M,Raw,220.0
77.5,57.5,58.2,F,Raw,115.0
147.42,72.57,59.87,M,Single-ply,120.2
97.5,52.5,72.6,F,Raw,160.0
106.59,70.31,70.31,M,Single-ply,131.54
227.5,125.0,75.5,M,Single-ply,227.5
190.0,122.5,82.48,M,Raw,220.0
90.72,61.23,55.07,M,Single-ply,108.86
133.81,74.84,83.23,M,Single-ply,124.74
129.27,102.06,66.95,M,Raw,156.49
275.0,187.5,123.16,M,Raw,290.0
97.5,52.5,52.0,F,Raw,120.0
130.0,82.5,71.5,F,Raw,140.0
180.0,140.0,56.51,F,Single-ply,182.5
176.9,106.59,97.34,M,Single-ply,170.1
140.61,79.38,74.62,M,Single-ply,129.27
102.5,65.0,49.4,M,Single-ply,115.0
245.0,165.0,104.2,M,Raw,237.5
136.08,70.31,74.84,M,Single-ply,142.88
110.0,67.5,70.0,M,Raw,125.0
172.37,108.86,79.83,M,Single-ply,185.97
137.5,72.5,57.98,M,Raw,175.0
249.48,154.22,80.56,M,Single-ply,265.35
188.24,108.86,63.14,M,Single-ply,185.97
130.0,72.5,69.65,F,Raw,160.0
85.0,62.5,70.45,M,Raw,120.0
165.0,115.0,102.4,M,Raw,172.5
97.5,62.5,61.4,F,Raw,140.0
163.29,88.45,67.5,M,Raw,185.97
235.0,195.0,113.2,M,Single-ply,310.0
255.0,147.5,123.0,M,Single-ply,275.0
172.5,150.0,73.7,M,Raw,192.5
204.12,113.4,84.82,M,Single-ply,199.58
295.0,242.5,122.7,M,Multi-ply,260.0
120.0,67.5,61.8,F,Single-ply,125.0
70.0,72.5,65.45,M,Raw,115.0
245.0,175.0,109.5,M,Wraps,262.5
162.5,85.0,66.0,M,Raw,185.0
185.0,160.0,90.5,M,Single-ply,225.0
170.0,105.0,103.42,M,Raw,205.0
52.5,45.0,70.1,F,Raw,90.0
255.0,177.5,104.78,M,Raw,250.0
105.0,62.5,55.79,F,Wraps,120.0
270.0,197.5,111.4,M,Raw,282.5
100.0,55.0,79.3,F,Raw,147.5
245.0,137.5,108.6,M,Single-ply,260.0
170.0,142.5,115.2,M,Single-ply,205.0
155.0,137.5,93.2,M,Raw,182.5
163.29,111.13,72.67,M,Single-ply,170.1
130.0,115.0,87.2,M,Raw,185.0
231.33,108.86,107.59,M,Single-ply,249.48
120.0,70.0,62.5,F,Raw,122.5
163.29,97.52,73.94,M,Single-ply,163.29
299.37,197.31,,M,Wraps,294.84
137.5,97.5,74.1,M,Raw,195.0
142.5,102.5,81.1,M,Raw,160.0
260.0,157.5,100.5,M,Single-ply,250.0
135.0,92.5,70.67,M,Raw,180.0
220.0,155.0,89.18,M,Wraps,217.5
187.5,120.0,74.6,M,Wraps,240.0
120.0,80.0,66.9,F,Single-ply,137.5
75.0,57.5,50.6,F,Raw,110.0
130.0,102.5,66.2,M,Raw,205.0
150.0,102.5,88.0,M,Raw,170.0
124.74,88.45,81.87,M,Single-ply,161.03
120.0,75.0,70.3,M,Wraps,160.0
105.0,60.0,74.39,F,Wraps,132.5
113.4,65.77,73.94,M,Single-ply,127.01
192.5,130.0,80.4,M,Raw,220.0
